is_industry_code_4561,is_industry_code_7761,is_industry_code_7499,is_industry_code_7214,is_industry_code_711,is_industry_code_4113,is_industry_code_919,is_industry_code_7599,is_industry_code_7292,is_industry_code_7215,n_txn_total,max_transaction_frequency_7d,max_transaction_frequency_90d,transaction_frequency_7d,transaction_size_variance_7d,sum_amt_total,days_since_last_transaction,incoming_volume_90d,median_hold_time_funds,max_channel_share,channel_debit_volume,channel_credit_volume,n_txn_emt,sum_amt_emt,median_amt_emt,median_amt_eft,cv_amt_eft,n_txn_cheque,std_amt_cheque,n_txn_card,std_amt_card,sum_amt_card,median_amt_abm,business_age,sales,employee_count,label
0,0,0,0,0,0,0,0,0,0,227,5,8,17,4731976.963,1697558.45,0,139300.84,14.32208333,0.811299499,1518689.69,139300.84,1,95.69,95.69,448.03,5.940638908,162,3611.887542,0,0.0,0.0,0.0,784,181876.0,5.0,
0,0,0,0,0,0,0,0,0,0,17,0,3,0,0.0,17523.94,11,13621.81,192.0,0.645314353,3816.15,13621.81,0,0.0,0.0,808.145,1.311750561,6,764.4056964,3,39.67449601,116.47,0.0,12395,250009.0,1.0,
0,0,0,0,0,0,0,0,0,1,8,1,1,1,0.0,46800.31,5,46566.69,455.9791667,0.839221578,233.62,46566.69,0,0.0,0.0,608.07,1.079122478,1,0.0,0,0.0,0.0,0.0,4974,217904.0,2.0,
0,0,0,0,0,0,0,0,0,0,35,1,2,1,0.0,59849.86,0,15797.36,90.33805556,0.599616941,31494.83,15797.36,0,0.0,0.0,414.49,1.366794665,1,0.0,0,0.0,0.0,0.0,346,0.0,1.0,
0,0,0,0,0,0,0,0,0,0,22,1,3,1,0.0,47485.19,6,9905.94,90.71222222,0.622593065,36786.18,9905.94,0,0.0,0.0,515.49,1.346121072,5,9225.945341,0,0.0,0.0,0.0,7725,,,
0,0,0,0,0,0,0,0,0,0,52,1,3,2,807962.0081,55333.93,0,41624.44,39.01472222,0.682366859,13709.49,41624.44,20,37758.04,236.58,352.845,1.453200534,0,0.0,25,1045.153281,8236.4,520.0,0,0.0,,
1,0,0,0,0,0,0,0,0,0,20,2,2,3,114390.5114,21182.97,1,16256.47,341.3977778,0.530650329,3996.3,16256.47,0,0.0,0.0,506.34,1.487663416,6,1820.874448,0,0.0,0.0,0.0,8371,106568.0,2.0,
0,0,0,0,0,0,0,0,0,0,80,3,6,5,15364128.82,306961.03,0,57142.86,29.33319444,0.867203729,249551.06,57142.86,0,0.0,0.0,518.79,3.87123261,9,5498.669486,0,0.0,0.0,0.0,0,0.0,0.0,
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,1483.46,50,944.92,320.7702778,1.0,538.54,944.92,0,0.0,0.0,741.73,0.387410586,0,0.0,0,0.0,0.0,0.0,1721,0.0,,
0,0,0,0,0,0,0,0,0,0,85,3,4,8,29394.59576,266011.92,0,25427.86,24.2675,0.746808602,238207.26,25427.86,74,64379.37,318.825,223.45,0.723386793,2,93.33809512,2,12.88348555,64.18,307.495,9050,1484594.0,8.88052366,
